Review Text,Review Title,Star Rating,negative,neutral,positive
com can I please get the access code,How to get the access code?,5,0.0,0.723,0.277
Totally amazing app,,5,0.0,0.328,0.672
Awesome that's what i wanted!!,,5,0.0,0.39,0.61
Awesome app,,5,0.0,0.196,0.804
Loved it,,5,0.0,0.204,0.796
Its cool,,5,0.0,0.303,0.697
Great concept,,5,0.0,0.196,0.804
Amazing,,5,0.0,0.0,1.0
Will surely refer to my gf ;),Nice concept,5,0.0,0.51,0.49
In love with the idea!,Awesome,5,0.0,0.471,0.529
"Awesome app, especially for those who like to look fresh every time!",,5,0.0,0.495,0.505
Good for ma girlfriend's make over ;),,5,0.0,0.51,0.49
To,Loved it,5,0.0,1.0,0.0
 Beloved,Loved it,5,0.0,0.0,1.0
Loved it,,5,0.0,0.204,0.796
In love with it,,5,0.0,0.417,0.583
Awsum app helped a lot,,5,0.0,1.0,0.0
Upload for men also,Loved it,5,0.0,1.0,0.0
So colotful,Lovwd it,5,0.0,1.0,0.0
Lovwdit,,5,0.0,1.0,0.0
I'm glad this thing is now available in India too,,3,0.0,0.75,0.25
" Like, FINALLY! Looking forward for the services and styles",,3,0.0,0.741,0.259
Look forward to men section,Nice catchy concept,5,0.0,1.0,0.0
Loved their collection of casual dresses,Elegant collection,5,0.0,0.412,0.588
 Also the app is super easy to use! Highly recommend the Flyrobe experience!,Elegant collection,5,0.0,0.496,0.504
My girlfriend tried the service when it had just launched and had a fantastic experience,Terrific app and experience,5,0.0,0.702,0.298
" Picked a dress, had it show up in 3 hours and wore it for a great night out",Terrific app and experience,5,0.0,0.773,0.227
 Highly recommended,Terrific app and experience,5,0.0,0.323,0.677
Awesome idea !!! Awesome app !!!,,5,0.0,0.299,0.701
As heard from horse's mouth please start for men also,Awesome!,5,0.0,0.796,0.204
 ;),Awesome!,5,0.0,0.0,1.0
"Love the idea! Ordered my first flyrobe and wow!!! Never again will I say ""I've got nothing to wear!"" :D",My wardrobe on the go!,5,0.114,0.563,0.323
Great idea !,,5,0.0,0.185,0.815
Easy to navigate! Interface as beautiful as the collection :),Complete Delight!,5,0.0,0.41,0.59
Very promising,Good app,5,0.0,0.25,0.75
Loved the concept!,Brilliant app,5,0.0,0.323,0.677
What's better than gifting a dress? Gift 10 dresses using Flyrobe,,5,0.0,0.58,0.42
How do I login,,4,0.0,1.0,0.0
 Where is the access code,,4,0.0,1.0,0.0
How do I login,,4,0.0,1.0,0.0
 please tell anyone I can't wait to get into this app,,4,0.0,0.796,0.204
 but I dnt kno like how to get in,,4,0.0,0.683,0.317
 where is the access code provided?,,4,0.0,1.0,0.0
"Such a fantastic idea, I love the way it has been implemented",Awesome idea and fantastic App,5,0.0,0.506,0.494
 Wonderful app to supplement the experience,Awesome idea and fantastic App,5,0.0,0.575,0.425
 I would highly recommend it anyone and everyone,Awesome idea and fantastic App,5,0.0,0.682,0.318
 Keep going and all the best team,Awesome idea and fantastic App,5,0.0,0.588,0.412
 Looking forward to big success ahead,Awesome idea and fantastic App,5,0.0,0.575,0.425
how to log in??? access code????,,3,0.0,1.0,0.0
How can i login ?,Something really nice and new,4,0.0,1.0,0.0
I like the concept and I want to use the app,,5,0.0,0.648,0.352
 But I need an invite code,,5,0.0,0.714,0.286
com ??,,5,0.0,1.0,0.0
What's d use if v can now take access with out access code,,1,0.0,1.0,0.0
 N wats d code,,1,0.0,1.0,0.0
Nice but y r indian dresses not coming?,,5,0.0,0.725,0.275
Such a brilliant idea!,,5,0.0,0.328,0.672
How do I login,,4,0.0,1.0,0.0
where is access code,,4,0.0,1.0,0.0
How i will get access code,,4,0.0,1.0,0.0
What should I enter for the access code? And I already sent you an email regarding the same,,4,0.0,1.0,0.0
Hiii management,Pls help to loginn !!,3,0.0,1.0,0.0
 how do I login inn into the app,Pls help to loginn !!,3,0.0,1.0,0.0
com,Pls help to loginn !!,3,0.0,1.0,0.0
com and I got a quick reply,Maitreyee,4,0.0,1.0,0.0
 I am so excited to try app out,Maitreyee,4,0.0,0.69,0.31
How to access,,4,0.0,1.0,0.0
code?? Eagerly waiting to access,,4,0.0,0.575,0.425
 Plz let me know,,4,0.0,0.698,0.302
how to,,4,0.0,1.0,0.0
I'm not able to login,How do I login,3,0.0,1.0,0.0
But how to login,Nice,5,0.0,1.0,0.0
 what is access code,Nice,5,0.0,1.0,0.0
 Plzzzz help,Nice,5,0.0,0.27,0.73
any one Plzzzz tell fast I have not received till now any access code,Nice,5,0.0,1.0,0.0
 when u will send me the code,Nice,5,0.0,1.0,0.0
 since 2 hours have passed,Nice,5,0.0,1.0,0.0
Loved it :),,5,0.0,0.127,0.873
I luvd d idea,,5,0.0,1.0,0.0
nd d collection,,5,0.0,1.0,0.0
gud goin,,5,0.0,1.0,0.0
Amazing concept,,5,0.0,0.208,0.792
You could have a collection for men's too Shreya,,4,0.0,1.0,0.0
 Love the concept superb implementation,,4,0.0,0.265,0.735
 I am sure you will make this a phenomenon,,4,0.0,0.723,0.277
How do I get d size chart? I m not able to select d retail option on the app,,4,0.0,1.0,0.0
n there is no place to enter the voucher codes,,4,0.216,0.784,0.0
 ,,4,0.0,0.0,0.0
Please do help at d earliest,,4,0.0,0.375,0.625
and up to what tyming we have to return,what r d return policy???,5,0.0,1.0,0.0
But m not able to place order,Good app,4,0.0,1.0,0.0
and how to place order for bags?,Good app,4,0.0,1.0,0.0
I have trouble accessing to d special dresses for occasions,,3,0.237,0.526,0.237
also do you offer traditional wear for rent?,,3,0.0,1.0,0.0
Finally this concept in India,Great App,5,0.0,1.0,0.0
Dsnt install on my phone 😣 please help out,,1,0.0,0.545,0.455
Keeps on throwing error 504,Error,1,0.403,0.597,0.0
Dont you give traditional indian dresses on rent?,,4,0.0,1.0,0.0
"It's not getting installed bcz of this "" error code -504 ",,2,0.258,0.742,0.0
it's saying,,2,0.0,1.0,0.0
You guys are saviours,Superheroes!,5,0.0,1.0,0.0
 My superheros,Superheroes!,5,0.0,1.0,0.0
Plz Come to delhi also!,,5,0.0,0.715,0.285
Can we have option of rent / buy ?,,4,0.0,1.0,0.0
I can't open reserve categories,,2,0.0,1.0,0.0
I really want to c traditional outfits plz help,,2,0.0,0.417,0.583
"Really team, hats off to you guys with starting of this app, this can help many people in different ways",,4,0.0,0.876,0.124
Installed it and it simply gets stuck,Slowest app ever!!!!!,1,0.25,0.75,0.0
 Cant see anything,Slowest app ever!!!!!,1,0.0,1.0,0.0
Do you ship to Delhi?,,4,0.0,1.0,0.0
Finally something like this in India,Amazing!,5,0.0,0.667,0.333
 Waiting for the traditional outfits!!,Amazing!,5,0.0,1.0,0.0
Beautiful app,Excellent!,5,0.0,0.204,0.796
Nice to see,nikki,5,0.0,0.417,0.583
A really great concept! Loooveee it,Must have it!,5,0.0,0.461,0.539
Love the idea,,5,0.0,0.323,0.677
 V nice,,5,0.0,0.0,1.0
I had booked a dress for my wife and she loved it,Excellent app!,5,0.0,0.698,0.302
 The dress was beautiful and flyrobe also sent matching accessories!,Excellent app!,5,0.0,0.682,0.318
You guys have made the 'Life of a Boyfriend' much more viable! ;) Kudos to the team for an amazing product and an even better service!,,5,0.0,0.617,0.383
I was super happy with the collection and my white Mango skater dress arrived in the promised three hours,Affordable fashion!,5,0.0,0.598,0.402
 The dress arrived packed so neatly with a personal note from the founders :) they had also thrown in free matching earrings! (Yay!!) I paid just four hundred bucks for a dress that costed eight grand!!It really made my day,Affordable fashion!,5,0.0,0.763,0.237
 True bliss is looking good on a budget :) :),Affordable fashion!,5,0.0,0.206,0.794
"Exquisite collection, marvellous app design, Lucid functioning",Pioneering Fashion App,5,0.0,1.0,0.0
Awsum,,5,0.0,1.0,0.0
Wen r v gettin guys collection,,5,0.0,1.0,0.0
?,,5,0.0,0.0,0.0
Nice app,,5,0.0,0.263,0.737
Awesum collection,,5,0.0,1.0,0.0
grt app,,5,0.0,1.0,0.0
Thumbs up to u Flyrobe,Dress shabbily and they remember d dress; dress impeccably and they remember the woman.,5,0.0,1.0,0.0
Keep going guys,Auesome !!!!!!,5,0.0,1.0,0.0
I like the app!! It's awesome!! I also suggest my friends try this,Awesome....,4,0.0,0.424,0.576
"When your closet is full of clothes and yet you think you have nothing to wear, Flyrobe is here to save the day and the night! :) The collection is absolutely fabulous! Lots of love and luck to Team Flyrobe",The ultimate fashion app,5,0.0,0.664,0.336
 P,The ultimate fashion app,5,0.0,0.0,0.0
S,The ultimate fashion app,5,0.0,0.0,0.0
 Can't wait to see Flyrobe go international!,The ultimate fashion app,5,0.0,1.0,0.0
Great app! Amazing service,Love it!,5,0.0,0.196,0.804
 Kudos to the team :),Love it!,5,0.0,0.323,0.677
"Thank you Flyrobe for a very surprising experience !! Firstly, the packaging is amazing!! Made me feel there's something really grand sent my way :)",Must experience !!,5,0.0,0.54,0.46
 I had ordered a lovely floral dress for a party at the last minute as they just take 3 hrs to get the dress delivered,Must experience !!,5,0.0,0.745,0.255
 I received the dress in under the promised time,Must experience !!,5,0.0,0.737,0.263
It just have simply awesome collection,Superb collection,5,0.0,0.549,0.451
 Loved it,Superb collection,5,0.0,0.204,0.796
Amazing collection!,,5,0.0,0.196,0.804
Very nice concept,Excellent,5,0.0,0.393,0.607
A much needed service in India,Brilliant idea,5,0.0,1.0,0.0
 Way to go guys!,Brilliant idea,5,0.0,1.0,0.0
Traditiona thing not getting opened,,3,0.0,1.0,0.0
Occasions are very well defined,Great app!,5,0.0,0.626,0.374
 UI is too good especially the left and right swipe feature to shortlist the dress,Great app!,5,0.0,0.828,0.172
Loved it &lt;3,,5,0.0,0.339,0.661
Loved it,We needed this in india!!! Its amazing that someone took the initiative of starting it!!!!,5,0.0,0.204,0.796
Awesome collection,,5,0.0,0.196,0.804
When flyrobe is adding men's wear? I don't have party clothes,,5,0.201,0.799,0.0
Nice concept :),,5,0.0,0.147,0.853
Good Designs,Higly Recommended,5,0.0,0.256,0.744
Awesome collection :-),Great app,5,0.0,0.135,0.865
Reserving a spot on my phone's home screen for this one!,,5,0.0,1.0,0.0
"Liked the Concept,loved the Dresses More but sadly its only in Mumbai",Loved The Concept,4,0.257,0.624,0.119
wen u guys launch this in delhi kindly mail thanx,Loved The Concept,4,0.0,0.714,0.286
keep up,Loved The Concept,4,0.0,1.0,0.0
Awesome :) my gf will love this :D,,5,0.0,0.199,0.801
Please include other Metropolitan cities in this,,4,0.0,0.723,0.277
Great clothing at reasonable price,Worth downloading,5,0.0,0.494,0.506
 Loving it!,Worth downloading,5,0.0,0.193,0.807
Nice collection,Awesome stuff,4,0.0,0.263,0.737
hope you guys will keep on adding and updating the collection,Awesome stuff,4,0.0,0.775,0.225
a must app for girls,Awesome stuff,4,0.0,1.0,0.0
Superb clothes and also amazing packing and service,Awsome,5,0.0,0.432,0.568
Super Hot Collection !,,5,0.0,0.323,0.677
I like the idea,,4,0.0,0.444,0.556
I want them to rent dresses in Hyderabad as well and i'd be a regular customer,I want you people to provide dresses in Hyderabad as well.,5,0.0,0.779,0.221
 Please do the needful,I want you people to provide dresses in Hyderabad as well.,5,0.0,0.566,0.434
Came across this app through fb promotions,"Beautiful app, necessary to experience",5,0.0,1.0,0.0
 Was surprised to think why nobody ever did this before abd this efficiently too,"Beautiful app, necessary to experience",5,0.0,0.705,0.295
" Anyway, like the concept, affordable pricing and service","Beautiful app, necessary to experience",5,0.0,0.737,0.263
 Thanks,"Beautiful app, necessary to experience",5,0.0,0.0,1.0
The pictures just don't load! I have a 4g connection and every other app work just fine,Very slow,2,0.0,0.87,0.13
I dont have fb account,login without fb account??,2,0.0,1.0,0.0
is there any other option for log in??,login without fb account??,2,0.0,1.0,0.0
I just love the outfit,Awesome,5,0.0,0.417,0.583
 I want to request you please add more dresses please and specify the deposit amount also for reserve out fit,Awesome,5,0.0,0.641,0.359
"What an interesting concept, wearing Flyrobe to my friend's wedding!",Absolutely loved it!,5,0.0,0.751,0.249
No images are loaded,Dissappointed,2,0.423,0.577,0.0
 Everytime I click on a category it says 'no items to show',Dissappointed,2,0.196,0.804,0.0
"A nice concept, must try at least once, but they seriously need to communicate better and inform their clients about the availability of the items when the order is placed",,3,0.061,0.769,0.17
After booking the dates for the outfits ,,2,0.0,1.0,0.0
no outfit is being displayed ,,2,0.355,0.645,0.0
"it is constantly showing 'No item here' ,no matter which category you choose",,2,0.284,0.645,0.071
😕,,2,0.0,0.0,0.0
Loved every single thing! From the clothes to the service to the presentation and even the complimentary gift!! Would definitely recommend to everyone I know! So helpful!!,Amazing,5,0.0,0.511,0.489
Awesome,,5,0.0,0.0,1.0
Great products,,5,0.0,0.196,0.804
As I have installed dis app n logged in through that device it is not allowing me to login with new device,Giving pain,1,0.0,1.0,0.0
 and please add traditionals,Giving pain,1,0.0,0.566,0.434
 Also give app for apple devices,Giving pain,1,0.0,1.0,0.0
Awesome products,,5,0.0,0.196,0.804
If i choose a date and then if i go and select the dress,Hate the app,1,0.0,1.0,0.0
 i cant put any dress in the cart,Hate the app,1,0.0,1.0,0.0
 its like all are pre booked,Hate the app,1,0.0,0.667,0.333
Pretty great collection for women! Very nice filters and interface!,Awesome app!,5,0.0,0.389,0.611
Whnevr i open any category it jst shws no items here,Hated it!!!,1,0.196,0.804,0.0
its very annoying!!,Hated it!!!,1,0.641,0.359,0.0
Lovely collection,Highly recommended.,5,0.0,0.208,0.792
 They have something for every person's taste,Highly recommended.,5,0.0,1.0,0.0
 Team is extremely helpful n very nice,Highly recommended.,5,0.0,0.383,0.617
 Looking fwd to using d app more often,Highly recommended.,5,0.0,1.0,0.0
 Highly recommended,Highly recommended.,5,0.0,0.323,0.677
"Guys, I am not on Facebook",No fb login,4,0.0,1.0,0.0
 Any other way to place orders?,No fb login,4,0.0,1.0,0.0
My trip to a nearby hill station was sudden and I wanted to look absolutely gorgeous with my bf,Amazing service....fast delivery,5,0.0,0.788,0.212
I quickly ordered from flyrobe and they had this super fast delivery made to me with a surprise complimentary accessory,Amazing service....fast delivery,5,0.0,0.609,0.391
 Thanks flyrobe for making my vacation memorable,Amazing service....fast delivery,5,0.0,0.674,0.326
Loved the outfits!!! All as good as new,,5,0.0,0.439,0.561
 all branded stuff,,5,0.0,1.0,0.0
 amazing delivery service!! Gonna use this app a lot!! Thanks flyrobe!!,,5,0.0,0.504,0.496
Y don't u open the same for men ,,4,0.0,1.0,0.0
??? Y shld women have all the fun ,,4,0.0,0.61,0.39
"I downloaded the app, however it keeps crashing on Android 6",App keeps crashing,3,0.0,1.0,0.0
0! Opens the homepage but fails to open other things,App keeps crashing,3,0.307,0.693,0.0
 Please look into the matter,App keeps crashing,3,0.0,0.469,0.531
Simply awesome !!,,5,0.0,0.299,0.701
I saw this app and thought its a great concept gave it a try and everything was absolutely a dream experience,Just loved it,5,0.0,0.701,0.299
" The communication from flyrobe team, dress delivery and pickup and the condition and the fitting of the dress ",Just loved it,5,0.0,1.0,0.0
 I have blabbered it to all my galfrinds hope they all use this and get the same awesome experience like i did,Just loved it,5,0.0,0.642,0.358
 Thanks,Just loved it,5,0.0,0.0,1.0
Cant wait to try the ethnic collection,,5,0.0,1.0,0.0
 damn! Next event is in dec 😦,,5,0.374,0.626,0.0
 long wait for me ! :(,,5,0.444,0.556,0.0
big thumbs up though☺,,5,0.0,1.0,0.0
Very niche,,4,0.0,1.0,0.0
Loved the app n concept,Nice app n concept!,5,0.0,0.435,0.565
 Do add some large sizes dresses too,Nice app n concept!,5,0.0,1.0,0.0
 :-),Nice app n concept!,5,0.0,0.0,1.0
Shows no items,,1,0.524,0.476,0.0
installed and uninstalled all in the span of 10 mins,,1,0.0,1.0,0.0
Keep it up guys!!,Loooved it!!!,5,0.0,1.0,0.0
"The app just hangs up and crashes when I click on the ""GALA CELEBRATION"" & ""NAVRATRI EXTRAVAGANZA"" section","Android Feedback (v18, LGE, Nexus 5, 6.0)",2,0.0,1.0,0.0
 Don't know what's wrong,"Android Feedback (v18, LGE, Nexus 5, 6.0)",2,0.0,0.54,0.46
 The other tabs work just fine,"Android Feedback (v18, LGE, Nexus 5, 6.0)",2,0.0,0.735,0.265
 My phone is upgraded to android marshmallow,"Android Feedback (v18, LGE, Nexus 5, 6.0)",2,0.0,1.0,0.0
" Is that the problem??? Once you you guys fix this, I will give u more stars!! Fyi: I have updated to the newest version","Android Feedback (v18, LGE, Nexus 5, 6.0)",2,0.154,0.763,0.083
 Even that dosent help!!!,"Android Feedback (v18, LGE, Nexus 5, 6.0)",2,0.0,0.456,0.544
😃,nice,5,0.0,0.0,0.0
Flyrobe,Ur best fix,5,0.0,1.0,0.0
com is an absolute saviour,Ur best fix,5,0.0,1.0,0.0
 Right from coordinating delivery/pick up,Ur best fix,5,0.0,1.0,0.0
" to beautiful packaging and the suprise pouch, these guys have done a marvellous job",Ur best fix,5,0.0,0.755,0.245
 Its a complete time n money saver! Thank you flyrobe,Ur best fix,5,0.0,0.715,0.285
com for simply existing,Ur best fix,5,0.0,1.0,0.0
 I would really appreciate more choices in the XL size tho,Ur best fix,5,0.0,0.75,0.25
Ordered a handbag and necklace which arrived in king-style packing and with chocolates and a greeting card for Diwali! Super impressive service! The quality of the products was outstanding too! :),Awesome first experience!,5,0.0,0.576,0.424
"Thank you so much for the earrings, the chocolates and the Diwali card not to mention the dress in the impeccable packing",Excellent product and service!,5,0.0,0.894,0.106
 This is some really really good customer service,Excellent product and service!,5,0.0,0.668,0.332
I really loved this app,Super experience with flyrobe,5,0.0,0.417,0.583
 the dress i got is just awesome,Super experience with flyrobe,5,0.0,0.549,0.451
and the way your service is just speechless,Super experience with flyrobe,5,0.0,1.0,0.0
 really had a super experience with FLYROBE,Super experience with flyrobe,5,0.0,0.545,0.455
 will shop again and again,Super experience with flyrobe,5,0.0,1.0,0.0
 loving it Thankyou,Super experience with flyrobe,5,0.0,0.339,0.661
So far the products that I saw online is good,,4,0.0,0.734,0.266
 Nice collection,,4,0.0,0.263,0.737
 I have ordered outfit for the weekend,,4,0.0,1.0,0.0
 and I am sure it would turn up to be good,,4,0.0,0.606,0.394
And if we want to return in 12 hrs the service tax won't be refunded !!,Good collection . But service tax is so much !,3,0.0,0.888,0.112
Exuberant collections,,5,0.0,0.208,0.792
Just installed the app,,4,0.0,1.0,0.0
 Haven't ordered any yet,,4,0.0,1.0,0.0
 But the collection is really nice,,4,0.0,0.618,0.382
 Do you deliver to Kolkata?,,4,0.0,1.0,0.0
Dont waste ur mb by downloading this app ,Very disgusting app,1,0.0,0.75,0.25
Firstly thank u Flyrobe team for getting such app,Simply amazing,5,0.0,0.737,0.263
 I ordered twice from this app and the experience I got was very good,Simply amazing,5,0.0,0.775,0.225
 The best part of the app is the delivery and pick up and even the executive c ordinating with us,Simply amazing,5,0.0,0.811,0.189
" Coming on the dress qualit, the dresses are very unique and amazingly outstanding",Simply amazing,5,0.0,0.737,0.263
" I would jus recommend if the flyrobe team could on work on office kurti or kurta sets from good brands like biba, W, rangmach and many more such brands",Simply amazing,5,0.0,0.76,0.24
This app needs compulsory facebook login,Compulsory Facebook Login,1,0.0,1.0,0.0
What about ppl who dnt ve one,Compulsory Facebook Login,1,0.0,1.0,0.0
Is this available in Delhi also ?,,1,0.0,1.0,0.0
Great concept and very friendly support staff,Awesome selection,5,0.0,0.275,0.725
I just installed the app,Loved it.,4,0.0,1.0,0.0
 I'm in love with it :* but only one problem,Loved it.,4,0.231,0.455,0.315
 Can these be delivered to Hyderabad please,Loved it.,4,0.0,0.723,0.277
Love it,,5,0.0,0.192,0.808
One stop for all the fashion needs,It is so amazing,5,0.268,0.732,0.0
 Amazing service and great comfort,It is so amazing,5,0.0,0.161,0.839
 This was a much awaited and much needed app❤,It is so amazing,5,0.136,0.864,0.0
I really liked this app,Superb,5,0.0,0.492,0.508
because fashion on rent is not only mean that we can wear brands on a cheap rates,Superb,5,0.0,1.0,0.0
it also mean that if we hvnt planned for any function,Superb,5,0.0,1.0,0.0
there flyrobe is like a surprise gift,Superb,5,0.0,0.286,0.714
App is not working on my phone how to order now 😒,Its not working only,1,0.0,1.0,0.0
I downloaded the app but it is not opening it cums login with fb I hv Account der hw to do it not getting,,1,0.0,1.0,0.0
Why is it available only in Mumbai? 😭😭😭😭 Pune needs this too,,4,0.0,1.0,0.0
 😳,,4,0.0,0.0,0.0
It's amazing!!,,5,0.0,0.186,0.814
Used the app to make a pick up request,Useless,1,0.0,1.0,0.0
 The app said a team would reach asap to take custom measurement however didn't get any call for a day so I called up,Useless,1,0.0,0.948,0.052
 The team had no idea about the order,Useless,1,0.239,0.761,0.0
 Took some while to figure it out and then got back asking to give some details on a form,Useless,1,0.0,1.0,0.0
 I submitted that in less than 5 mins however no revert so I called up again but couldn't get any response,Useless,1,0.086,0.914,0.0
 Their agent next day calls up very casually saying that we havent got the response !! It's like a total waste,Useless,1,0.113,0.683,0.204
I ordered a dress from Gala celebration,,1,0.0,1.0,0.0
 They sent a Google form for custom fitting,,1,0.0,1.0,0.0
" Wt a waste of time, if you guys don't want to deliver",,1,0.309,0.691,0.0
After the app is downloaded and u login with your fb account,Useless,1,0.0,1.0,0.0
you can't view any dresses,Useless,1,0.0,1.0,0.0
just keeps loading the page,Useless,1,0.0,1.0,0.0
In love with their ethnic collection and kudos to the expectional service that they provide!,Brilliant Concept,5,0.0,0.625,0.375
Don't download it,Fuckin concepts,1,0.0,1.0,0.0
 useless app,Fuckin concepts,1,0.737,0.263,0.0
Good design and variety,Excellent concept,5,0.0,0.508,0.492
I hope dere was something for man as well,,2,0.0,0.545,0.455
"Trying since 5 days started a chat session, sent emails, tried calling but no response is given by them! If they can't be attentive when we want to book something how will they provide service after booking",No response,1,0.082,0.879,0.039
dresses designs are fantastic,Seems an awsome app,4,0.0,0.455,0.545
 It should be also available in kolkata,Seems an awsome app,4,0.0,1.0,0.0
 😐,Seems an awsome app,4,0.0,0.0,0.0
Unaware that dresses were given on rent and not actual purchase 😂😛 just received the dress and I actually loved it,Loved the collection!,5,0.076,0.759,0.165
" Wish I could keep it😞 really happy with the way it was delivered, the quality and service",Loved the collection!,5,0.0,0.677,0.323
 Looking forward to order for the new year now! Excellent 👌,Loved the collection!,5,0.0,0.693,0.307
I'd give 5 stars if this comes to navi mumbai even we navi mumbaikars want to wear such awesome dresses,Navi Mumbai,2,0.0,0.759,0.241
 Please have it here,Navi Mumbai,2,0.0,0.566,0.434
 Also I am interested to do a start up here,Navi Mumbai,2,0.0,0.722,0.278
 Do respond soon,Navi Mumbai,2,0.0,1.0,0.0
I ordered an ethnic wear few weeks ago and l'm really happy with their fast service and awesome collection,Amazing collection,5,0.0,0.664,0.336
 The dress was beautiful and stitched according to my size,Amazing collection,5,0.0,0.698,0.302
 Will order again,Amazing collection,5,0.0,1.0,0.0
 :),Amazing collection,5,0.0,0.0,1.0
I ordered a dress on 3rd and set the pick up date as 7th and paid for the extra days too,Pathetic service,1,0.0,1.0,0.0
" Despite of that, they kept calling me on 5th and 6th and when I finally told them that the pick up is on 7th , they didn't call on 7th at all",Pathetic service,1,0.0,1.0,0.0
" Later, they called me on 8th and set a pick up time but did not pick up my dress",Pathetic service,1,0.0,1.0,0.0
 Later they again call me on 9th and 10th and finally picked it up on 10th,Pathetic service,1,0.0,1.0,0.0
 Please make your service better,Pathetic service,1,0.0,0.366,0.634
 This is a lot to bear when in the beginning I couldn't even place an order from the app,Pathetic service,1,0.0,1.0,0.0
I never imagined I can get dresses on rent,,5,0.0,1.0,0.0
 I loved my dress,,5,0.0,0.339,0.661
 The dress was dry cleaned and ready to wear on arrival,,5,0.0,0.8,0.2
 The free accessory was a cherry on the cake,,5,0.0,0.68,0.32
 And the ease of getting a dress and return is just amazing,,5,0.0,0.588,0.412
Love,Love it totally,4,0.0,0.0,1.0
Being a shopaholic I always ended up spending a lot buying dresses I would only wear once,This is awesome !!,5,0.0,1.0,0.0
 Flyrobe has saved me a lot of cash,This is awesome !!,5,0.0,0.682,0.318
 The variety is amazing and the dresses are clean and ready to wear,This is awesome !!,5,0.0,0.526,0.474
" Sent a dress to my di in gurgaon, she loved it!! Thanks a lot flyrobe !!",This is awesome !!,5,0.0,0.601,0.399
I recently odrdered a dress for me and my friend for a big dinner party and trust me everybody at the dinner kept staring at us with their eyes wide open,Flyrobe- literally amazing!!,5,0.0,0.731,0.269
":D Some girls even asked us where did we buy such expensive dresses , we simply smiled and introduced them to flyrobe and they went all craaaaazzyyy with the idea:P The dresses fit properly and the jwellery was a cherry on the cake (who doesnt love free stuff :P) Looking forward to order a dress for a wedding soon:D wishing flyrobe the best of all",Flyrobe- literally amazing!!,5,0.08,0.709,0.212
